Temps,text
Mon Dec 14 17:14:54 +0000 2020, JimJordan: If Joe Biden had nothing to do with Hunter Biden\u2019s business dealings then why did Hunter request that his dad have a key t\u2026
Mon Dec 14 17:14:55 +0000 2020, sbauerAP: BREAKING:\n\nWisconsin Supreme Court rules against Trump\u2019s attempt to overturn his loss to Democrat Joe Biden in the state
Mon Dec 14 17:14:55 +0000 2020, kylegriffin1: MADISON Wis. (AP) \u2014 Wisconsin Supreme Court rules against Trump's attempt to overturn his loss to Democrat Joe Biden in\u2026
Mon Dec 14 17:14:55 +0000 2020," Qtah17: BREAKING \ud83d\udea8\ud83d\udea8\ud83d\udea8\n\nRudy Giuliani states on war room: \""Joe Biden will never be President he could never get a security clearance he\u2026"
Mon Dec 14 17:14:55 +0000 2020," theMRC: .SenRonJohnson calls out Joe Biden for not being \""honest\"" with Americans regarding his family's foreign business dealings. htt\u2026"
Mon Dec 14 17:14:55 +0000 2020,"CondreayDavid The number one complaint I have heard about Joe Biden is they honestly believe he is mentally incomp\u2026 https:\/\/t.co\/rUSrObs5vD""""displaytextrange"":15140""source"":""\u003ca href=\""https:\/\/mobile.twitter.com\"" rel=\""nofollow\""\u003eTwitter Web App\u003c\/a\u003e""""truncated"":true""inreplytostatusid"":1338503628361854977""inreplytostatusidstr"":""1338503628361854977""""inreplytouserid"":2895735686""inreplytouseridstr"":""2895735686""""inreplytoscreenname"":""CondreayDavid""""user"":""id"":456884852""idstr"":""456884852""""name"":""David Durand MD""""screenname"":""DavidDurandMD""""location"":""Sarasota Florida""""url"":""http:\/\/FullyRealized.com""""description"":""I support Pres. Elect Joe Biden and the healing of our nation. I value great leadership political courage and living in presence. http:\/\/LiveInPresence.com""""translatortype"":""none""""protected"":false""verified"":false""followerscount"":100""friendscount"":86""listedcount"":1""favouritescount"":1102""statusescount"":3736""createdat"":""Fri Jan 06 19:42:24 +0000 2012""""utcoffset"":null""timezone"":null""geoenabled"":false""lang"":null""contributorsenabled"":false""istranslator"":false""profilebackgroundcolor"":""C0DEED""""profilebackgroundimageurl"":""http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""""profilebackgroundimageurlhttps"":""https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""""profilebackgroundtile"":false""profilelinkcolor"":""1DA1F2""""profilesidebarbordercolor"":""C0DEED""""profilesidebarfillcolor"":""DDEEF6""""profiletextcolor"":""333333""""profileusebackgroundimage"":true""profileimageurl"":""http:\/\/pbs.twimg.com\/profileimages\/1250252613251186688\/GIMKHLDqnormal.jpg""""profileimageurlhttps"":""https:\/\/pbs.twimg.com\/profileimages\/1250252613251186688\/GIMKHLDqnormal.jpg""""profilebannerurl"":""https:\/\/pbs.twimg.com\/profilebanners\/456884852\/1602347859""""defaultprofile"":true""defaultprofileimage"":false""following"":null""followrequestsent"":null""notifications"":null""geo"":null""coordinates"":null""place"":null""contributors"":null""isquotestatus"":false""extendedtweet"":""fulltext"":""CondreayDavid The number one complaint I have heard about Joe Biden is they honestly believe he is mentally incompetent and that his admin will be run by others behind the scenes. I disagree of course. A POTUS has to rely on many others to accomplish anything.""""displaytextrange"":15261""entities"":""hashtags"":""urls"":""usermentions"":""screenname"":""CondreayDavid""""name"":""David Condreay \ud83c\udd98""""id"":2895735686""idstr"":""2895735686""""indices"":014""symbols"":""quotecount"":0""replycount"":0""retweetcount"":0""favoritecount"":0""entities"":""hashtags"":""urls"":""url"":""https:\/\/t.co\/rUSrObs5vD""""expandedurl"":""https:\/\/twitter.com\/i\/web\/status\/1338532935956373513""""displayurl"":""twitter.com\/i\/web\/status\/1\u2026""""indices"":117140""usermentions"":""screenname"":""CondreayDavid""""name"":""David Condreay \ud83c\udd98""""id"":2895735686""idstr"":""2895735686""""indices"":014""symbols"":""favorited"":false""retweeted"":false""filterlevel"":""low""""lang"":""en""""timestampms"":""1607966095328"""
Mon Dec 14 17:14:55 +0000 2020,If there was anything there why didn\u2019t Bill Barr Donald Trump\u2019s boy bring this up before the election?
Mon Dec 14 17:14:55 +0000 2020, MajorPatriot: Today the electoral college meets to elect Joe Biden and I couldn't be more excited.\n\nThis is the best movie I've ever ev\u2026
Mon Dec 14 17:14:55 +0000 2020," Qtah17: BREAKING \ud83d\udea8\ud83d\udea8\ud83d\udea8\n\nRudy Giuliani states on war room: \""Joe Biden will never be President he could never get a security clearance he\u2026"
Mon Dec 14 17:14:55 +0000 2020, PollPolitics: NEW YORK: Former President Bill Clinton and Secretary of State Hillary Clinton among electors who will be voting for Joe\u2026
Mon Dec 14 17:14:55 +0000 2020,They\u2019re all going down!!!!\ud83d\udd25\ud83d\udd25\ud83d\udd25
Mon Dec 14 17:14:55 +0000 2020, JimJordan: If Joe Biden had nothing to do with Hunter Biden\u2019s business dealings then why did Hunter request that his dad have a key t\u2026
Mon Dec 14 17:14:55 +0000 2020, sbauerAP: BREAKING:\n\nWisconsin Supreme Court rules against Trump\u2019s attempt to overturn his loss to Democrat Joe Biden in the state
Mon Dec 14 17:14:56 +0000 2020, kylegriffin1: MADISON Wis. (AP) \u2014 Wisconsin Supreme Court rules against Trump's attempt to overturn his loss to Democrat Joe Biden in\u2026
Mon Dec 14 17:14:56 +0000 2020, JimJordan: If Joe Biden had nothing to do with Hunter Biden\u2019s business dealings then why did Hunter request that his dad have a key t\u2026
Mon Dec 14 17:14:56 +0000 2020, MajorPatriot: Joe Biden's lawyers should probably go over his speech with a fine toothed comb before he gives it tonight.
Mon Dec 14 17:14:56 +0000 2020, cjtruth: POTUS totally trolling Joe Biden with his jog down ramp \ud83d\ude02\ud83d\ude02
Mon Dec 14 17:14:56 +0000 2020, realDonaldTrump: Why didn\u2019t Bill Barr reveal the truth to the public before the Election about Hunter Biden. Joe was lying on the deb\u2026
